,(1+p1),(1-p1),(flip*flip),(x*x),(x-z),(z*x),(z*z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
0,1.94,0.06,0,169,-2,195,225,28,2,15.07,0,0.94,0.07000000000000028,13,15
1,1.49,0.51,0,64,1,56,49,15,-1,8.096,0,0.49,1.096,8,7
2,1.88,0.12,0,0,-20,0,400,20,20,20.128,0,0.88,0.1280000000000001,0,20
3,1.68,0.32,0,400,5,300,225,35,-5,15.412,0,0.68,0.4120000000000008,20,15
4,1.51,0.49,0,256,10,96,36,22,-10,7.024,0,0.51,1.024,16,6
5,1.83,0.17,0,361,9,190,100,29,-9,10.21,0,0.83,0.21000000000000085,19,10
6,1.64,0.36,0,289,17,0,0,17,-17,0.47,0,0.64,0.47,17,0
7,1.93,0.07,0,144,-2,168,196,26,2,14.082,0,0.93,0.08200000000000074,12,14
8,1.72,0.28,0,36,2,24,16,10,-2,4.35,0,0.72,0.34999999999999964,6,4
9,1.13,0.87,0,25,-15,100,400,25,15,26.94,0,0.13,6.940000000000001,5,20
10,1.13,0.87,0,100,2,80,64,18,-2,14.208,0,0.13,6.208,10,8
11,1.9,0.1,0,16,-1,20,25,9,1,5.104,0,0.9,0.10400000000000009,4,5
12,1.12,0.88,0,16,-3,28,49,11,3,14.688,0,0.12,7.688000000000001,4,7
13,1.87,0.13,0,289,7,170,100,27,-7,10.16,0,0.87,0.16000000000000014,17,10
14,1.06,0.94,0,400,18,40,4,22,-18,17.034,0,0.06,15.033999999999999,20,2
15,1.52,0.48,0,4,-11,26,169,15,11,13.986,0,0.52,0.9860000000000007,2,13
16,1.8,0.2,0,36,-7,78,169,19,7,13.228,0,0.8,0.22799999999999976,6,13
17,1.79,0.21,0,81,-2,99,121,20,2,11.312,0,0.79,0.3119999999999994,9,11
18,1.34,0.66,0,100,4,60,36,16,-4,7.674,0,0.34,1.6740000000000004,10,6
19,1.18,0.82,0,9,-7,30,100,13,7,14.598,0,0.18,4.598000000000001,3,10
20,1.44,0.56,0,225,-5,300,400,35,5,21.342,0,0.44,1.3419999999999987,15,20
21,1.84,0.16,0,324,3,270,225,33,-3,15.186,0,0.84,0.18599999999999994,18,15
22,1.94,0.06,0,4,-8,20,100,12,8,10.084,0,0.94,0.08399999999999963,2,10
23,1.39,0.61,0,16,3,4,1,5,-3,2.674,0,0.39,1.674,4,1
24,1.74,0.26,0,9,-6,27,81,12,6,9.312,0,0.74,0.3119999999999994,3,9
25,1.91,0.09,0,225,-1,240,256,31,1,16.116,0,0.91,0.11599999999999966,15,16
26,1.27,0.73,0,121,4,77,49,18,-4,9.658,0,0.27,2.6579999999999995,11,7
27,1.65,0.35,0,81,3,54,36,15,-3,6.524,0,0.65,0.524,9,6
28,1.4,0.6,0,144,2,120,100,22,-2,11.524,0,0.4,1.5239999999999991,12,10
29,1.75,0.25,0,100,-2,120,144,22,2,12.338,0,0.75,0.3379999999999992,10,12
30,1.08,0.92,0,361,2,323,289,36,-2,28.394,0,0.08,11.393999999999998,19,17
31,1.68,0.32,0,196,-2,224,256,30,2,16.444,0,0.68,0.44399999999999906,14,16
32,1.43,0.57,0,361,9,190,100,29,-9,11.3,0,0.43,1.3000000000000007,19,10
33,1.57,0.43,0,100,-5,150,225,25,5,15.76,0,0.57,0.7599999999999998,10,15
34,1.09,0.91,0,49,-5,84,144,19,5,21.564,0,0.09,9.564,7,12
35,1.77,0.23,0,49,-7,98,196,21,7,14.288,0,0.77,0.28800000000000026,7,14
36,1.61,0.39,0,400,13,140,49,27,-13,7.628,0,0.61,0.6280000000000001,20,7
37,1.47,0.53,0,4,-6,16,64,10,6,9.07,0,0.47,1.0700000000000003,2,8
38,1.65,0.35,0,0,-20,0,400,20,20,20.516,0,0.65,0.5159999999999982,0,20
39,1.93,0.07,0,361,17,38,4,21,-17,2.094,0,0.93,0.09399999999999986,19,2
40,1.35,0.65,0,225,14,15,1,16,-14,2.916,0,0.35,1.916,15,1
41,1.77,0.23,0,169,3,130,100,23,-3,10.278,0,0.77,0.27800000000000047,13,10
42,1.54,0.46,0,100,2,80,64,18,-2,8.916,0,0.54,0.9160000000000004,10,8
43,1.33,0.67,0,64,-5,104,169,21,5,15.026,0,0.33,2.026,8,13
44,1.45,0.55,0,256,9,112,49,23,-9,8.226,0,0.45,1.2260000000000009,16,7
45,1.1,0.9,0,0,-3,0,9,3,3,12.166,0,0.1,9.166,0,3
46,1.11,0.89,0,121,0,121,121,22,0,18.736,0,0.11,7.736000000000001,11,11
47,1.82,0.18,0,49,7,0,0,7,-7,0.216,0,0.82,0.216,7,0
48,1.45,0.55,0,289,7,170,100,27,-7,11.286,0,0.45,1.2859999999999996,17,10
49,1.76,0.24,0,25,3,10,4,7,-3,2.336,0,0.76,0.33599999999999985,5,2
50,1.45,0.55,0,0,-8,0,64,8,8,9.106,0,0.45,1.1059999999999999,0,8
51,1.92,0.08,0,25,-15,100,400,25,15,20.108,0,0.92,0.10800000000000054,5,20
52,1.92,0.08,0,16,2,8,4,6,-2,2.088,0,0.92,0.08800000000000008,4,2
53,1.76,0.24,0,0,-17,0,289,17,17,17.322,0,0.76,0.3219999999999992,0,17
