,G,n,p,post,pre,x,y
0,True,9,0.64,0,0,0,3
1,True,9,0.07,1,1,1,12
2,True,7,0.74,19,19,19,10
3,True,19,0.53,6,6,6,18
4,True,20,0.45,7,7,7,13
5,True,19,0.08,2,2,2,2
6,True,19,0.69,7,7,7,10
7,True,10,0.3,0,0,0,15
8,True,18,0.34,12,12,12,8
9,True,2,0.9,15,15,15,5
10,True,3,0.77,9,9,9,20
11,True,15,0.21,7,7,7,3
12,True,1,0.35,7,7,7,18
13,True,19,0.58,18,18,18,14
14,True,6,0.76,20,20,20,11
15,True,16,0.08,1,1,1,11
16,True,16,0.89,2,2,2,5
17,True,9,0.47,2,2,2,0
18,True,7,0.8,13,13,13,4
19,True,3,0.46,1,1,1,7
20,True,2,0.81,20,20,20,6
21,True,15,0.33,2,2,2,19
22,True,17,0.67,7,7,7,1
23,True,14,0.78,1,1,1,16
24,True,15,0.22,2,2,2,15
25,True,8,0.94,5,5,5,19
26,True,7,0.59,14,14,14,4
27,True,16,0.51,10,10,10,10
28,True,13,0.61,7,7,7,15
29,True,20,0.33,13,13,13,15
30,True,20,0.31,8,8,8,13
31,True,7,0.64,8,8,8,16
32,True,9,0.79,16,16,16,15
33,True,14,0.42,4,4,4,10
34,True,3,0.35,1,1,1,0
35,True,14,0.75,9,9,9,3
36,True,10,0.93,12,12,12,1
37,True,15,0.73,19,19,19,17
38,True,8,0.66,1,1,1,3
39,True,14,0.43,6,6,6,5
40,True,15,0.09,14,14,14,1
41,True,16,0.5,9,9,9,14
42,True,9,0.13,0,0,0,4
43,True,15,0.56,1,1,1,6
44,True,5,0.33,4,4,4,20
45,True,14,0.76,10,10,10,11
46,True,18,0.05,8,8,8,19
47,True,13,0.49,13,13,13,5
48,True,10,0.24,1,1,1,20
49,True,9,0.27,15,15,15,4
50,True,18,0.91,20,20,20,20
51,True,9,0.14,3,3,3,2
52,True,12,0.26,20,20,20,11
53,True,19,0.68,6,6,6,11
54,True,4,0.47,0,0,0,13
55,True,16,0.32,17,17,17,15
56,True,10,0.52,8,8,8,19
57,True,15,0.92,15,15,15,17
58,True,8,0.16,0,0,0,11
59,True,2,0.43,6,6,6,6
60,True,12,0.75,10,10,10,18
61,True,3,0.91,6,6,6,16
62,True,1,0.75,20,20,20,5
63,True,15,0.69,2,2,2,9
64,True,4,0.55,11,11,11,0
65,True,18,0.16,15,15,15,5
66,True,18,0.28,0,0,0,4
67,True,1,0.55,15,15,15,20
68,True,4,0.23,13,13,13,19
69,True,8,0.59,18,18,18,11
70,True,5,0.08,13,13,13,14
71,True,2,0.35,2,2,2,13
72,True,1,0.53,14,14,14,0
73,True,3,0.85,2,2,2,0
74,True,18,0.76,4,4,4,20
75,True,7,0.51,2,2,2,11
76,True,15,0.06,12,12,12,20
77,True,10,0.73,13,13,13,19
78,True,8,0.25,16,16,16,6
79,True,8,0.37,0,0,0,18
80,True,18,0.92,7,7,7,2
81,True,20,0.37,8,8,8,19
82,True,15,0.27,1,1,1,16
83,True,20,0.62,20,20,20,1
84,True,13,0.06,18,18,18,11
85,True,12,0.57,12,12,12,20
86,True,5,0.73,7,7,7,15
87,True,9,0.58,12,12,12,19
88,True,20,0.89,4,4,4,7
89,True,7,0.1,19,19,19,13
90,True,1,0.15,20,20,20,11
91,True,5,0.2,1,1,1,0
92,True,19,0.39,16,16,16,18
93,True,20,0.4,11,11,11,13
94,True,20,0.82,4,4,4,9
95,True,12,0.37,14,14,14,13
96,True,6,0.53,4,4,4,6
97,True,18,0.23,18,18,18,7
98,True,2,0.63,8,8,8,13
99,True,1,0.17,1,1,1,19
100,True,9,0.38,18,18,18,1
101,True,8,0.94,2,2,2,8
102,True,13,0.72,14,14,14,14
103,True,12,0.26,8,8,8,5
104,True,13,0.06,13,13,13,20
105,True,1,0.68,2,2,2,4
106,True,14,0.9,1,1,1,20
107,True,11,0.81,7,7,7,4
108,True,7,0.57,0,0,0,4
109,True,13,0.78,15,15,15,5
110,True,11,0.92,17,17,17,20
111,True,1,0.43,8,8,8,11
112,True,2,0.61,11,11,11,20
113,True,5,0.14,19,19,19,7
