,G,flip,p1,post,pre,x,z
0,True,0,0.81,7,7,20,7
1,True,0,0.76,13,13,3,13
2,True,0,0.75,0,0,1,0
3,True,0,0.27,12,12,15,12
4,True,0,0.68,16,16,16,16
5,True,0,0.94,11,11,20,11
6,True,0,0.95,5,5,11,5
7,True,0,0.49,9,9,11,9
8,True,0,0.24,7,7,19,7
9,True,0,0.54,6,6,18,6
10,True,0,0.79,10,10,12,10
11,True,0,0.88,13,13,3,13
12,True,0,0.15,6,6,13,6
13,True,0,0.72,1,1,18,1
14,True,0,0.1,9,9,13,9
15,True,0,0.4,15,15,7,15
16,True,0,0.87,4,4,4,4
17,True,0,0.14,13,13,18,13
18,True,0,0.62,0,0,3,0
19,True,0,0.22,5,5,4,5
20,True,0,0.8,20,20,10,20
21,True,0,0.44,11,11,14,11
22,True,0,0.89,7,7,0,7
23,True,0,0.29,14,14,11,14
24,True,0,0.83,2,2,0,2
25,True,0,0.67,20,20,16,20
26,True,0,0.35,18,18,7,18
27,True,0,0.76,17,17,1,17
28,True,0,0.11,2,2,9,2
29,True,0,0.22,1,1,5,1
30,True,0,0.75,1,1,8,1
31,True,0,0.21,8,8,13,8
32,True,0,0.85,0,0,12,0
33,True,0,0.44,9,9,0,9
34,True,0,0.34,9,9,18,9
35,True,0,0.41,11,11,19,11
36,True,0,0.2,6,6,3,6
37,True,0,0.79,10,10,5,10
38,True,0,0.88,15,15,15,15
39,True,0,0.53,4,4,10,4
40,True,0,0.21,12,12,13,12
41,True,0,0.46,8,8,2,8
42,True,0,0.11,3,3,4,3
43,True,0,0.93,13,13,3,13
44,True,0,0.28,3,3,8,3
45,True,0,0.12,14,14,4,14
46,True,0,0.41,5,5,9,5
47,True,0,0.06,17,17,18,17
48,True,0,0.27,10,10,13,10
49,True,0,0.17,11,11,2,11
50,True,0,0.7,8,8,15,8
51,True,0,0.46,20,20,1,20
52,True,0,0.34,9,9,11,9
53,True,0,0.48,20,20,15,20
54,True,0,0.46,19,19,15,19
55,True,0,0.82,1,1,17,1
56,True,0,0.85,8,8,8,8
57,True,0,0.9,18,18,10,18
58,True,0,0.28,15,15,16,15
59,True,0,0.71,15,15,17,15
60,True,0,0.86,9,9,0,9
61,True,0,0.54,14,14,2,14
62,True,0,0.51,3,3,4,3
63,True,0,0.05,8,8,7,8
64,True,0,0.37,2,2,7,2
65,True,0,0.54,10,10,6,10
66,True,0,0.83,20,20,2,20
67,True,0,0.4,13,13,11,13
68,True,0,0.75,7,7,10,7
69,True,0,0.47,10,10,8,10
70,True,0,0.74,15,15,7,15
71,True,0,0.29,11,11,20,11
72,True,0,0.93,13,13,2,13
73,True,0,0.72,18,18,0,18
74,True,0,0.53,3,3,3,3
75,True,0,0.64,7,7,10,7
76,True,0,0.85,9,9,5,9
77,True,0,0.13,12,12,17,12
78,True,0,0.53,1,1,1,1
79,True,0,0.18,7,7,4,7
80,True,0,0.92,1,1,17,1
81,True,0,0.78,4,4,9,4
82,True,0,0.71,1,1,5,1
83,True,0,0.26,0,0,13,0
84,True,0,0.69,9,9,7,9
85,True,0,0.22,11,11,19,11
86,True,0,0.81,18,18,19,18
87,True,0,0.72,1,1,5,1
88,True,0,0.44,20,20,17,20
89,True,0,0.16,16,16,19,16
90,True,0,0.34,13,13,1,13
91,True,0,0.52,18,18,0,18
92,True,0,0.18,13,13,16,13
93,True,0,0.47,11,11,2,11
94,True,0,0.55,11,11,18,11
95,True,0,0.15,2,2,7,2
96,True,0,0.42,20,20,19,20
97,True,0,0.38,18,18,15,18
98,True,0,0.15,13,13,18,13
99,True,0,0.61,3,3,13,3
100,True,0,0.71,18,18,9,18
101,True,0,0.77,11,11,2,11
102,True,0,0.12,14,14,6,14
103,True,0,0.64,18,18,16,18
104,True,0,0.27,15,15,13,15
105,True,0,0.84,15,15,13,15
106,True,0,0.57,8,8,19,8
107,True,0,0.74,20,20,6,20
108,True,0,0.59,18,18,14,18
109,True,0,0.26,7,7,8,7
110,True,0,0.37,17,17,1,17
111,True,0,0.18,8,8,10,8
112,True,0,0.58,7,7,9,7
113,True,0,0.44,3,3,13,3
114,True,0,0.86,3,3,0,3
115,True,0,0.11,12,12,7,12
116,True,0,0.52,2,2,19,2
117,True,0,0.15,7,7,9,7
118,True,0,0.91,20,20,15,20
119,True,0,0.94,19,19,17,19
120,True,0,0.42,17,17,13,17
121,True,0,0.87,15,15,0,15
122,True,0,0.94,9,9,1,9
123,True,0,0.4,20,20,19,20
124,True,0,0.8,13,13,8,13
125,True,0,0.6,7,7,12,7
126,True,0,0.06,20,20,17,20
127,True,0,0.57,20,20,3,20
128,True,0,0.8,20,20,17,20
129,True,0,0.06,14,14,20,14
130,True,0,0.8,2,2,2,2
131,True,0,0.69,15,15,18,15
132,True,0,0.77,4,4,20,4
133,True,0,0.21,14,14,14,14
134,True,0,0.1,20,20,8,20
135,True,0,0.73,20,20,20,20
136,True,0,0.25,0,0,6,0
137,True,0,0.15,19,19,8,19
138,True,0,0.8,8,8,13,8
139,True,0,0.8,3,3,10,3
140,True,0,0.54,5,5,0,5
141,True,0,0.48,15,15,7,15
142,True,0,0.42,18,18,17,18
143,True,0,0.32,13,13,0,13
144,True,0,0.66,8,8,8,8
145,True,0,0.65,2,2,4,2
146,True,0,0.29,1,1,2,1
147,True,0,0.8,10,10,17,10
148,True,0,0.85,15,15,1,15
149,True,0,0.4,5,5,5,5
150,True,0,0.51,14,14,5,14
151,True,0,0.33,18,18,14,18
152,True,0,0.69,11,11,3,11
153,True,0,0.66,6,6,5,6
154,True,0,0.88,1,1,8,1
155,True,0,0.13,12,12,8,12
156,True,0,0.61,4,4,6,4
157,True,0,0.89,11,11,10,11
158,True,0,0.35,17,17,1,17
159,True,0,0.41,0,0,19,0
160,True,0,0.27,0,0,19,0
161,True,0,0.15,15,15,11,15
162,True,0,0.11,2,2,8,2
163,True,0,0.15,15,15,20,15
164,True,0,0.25,8,8,17,8
165,True,0,0.8,13,13,19,13
166,True,0,0.62,18,18,20,18
167,True,0,0.24,13,13,5,13
168,True,0,0.58,14,14,14,14
169,True,0,0.34,19,19,7,19
170,True,0,0.8,14,14,15,14
171,True,0,0.36,12,12,7,12
172,True,0,0.88,3,3,11,3
173,True,0,0.38,5,5,19,5
174,True,0,0.14,11,11,7,11
175,True,0,0.78,9,9,1,9
176,True,0,0.82,14,14,2,14
177,True,0,0.14,13,13,3,13
178,True,0,0.54,11,11,0,11
179,True,0,0.54,8,8,11,8
180,True,0,0.06,17,17,5,17
181,True,0,0.44,7,7,10,7
182,True,0,0.38,10,10,18,10
