,G,flip,p1,post,pre,x,z
0,False,1,0.81,7,7,20,7
1,False,1,0.81,7,7,20,7
2,False,1,0.81,7,7,20,7
3,False,1,0.81,7,7,20,7
4,False,1,0.81,7,7,20,7
5,False,1,0.81,7,7,20,7
6,False,1,0.81,7,7,20,7
7,False,1,0.81,7,7,20,7
8,False,1,0.81,7,7,20,7
9,False,1,0.81,7,7,20,7
10,False,1,0.81,7,7,20,7
11,False,1,0.81,7,7,20,7
12,False,1,0.81,7,7,20,7
13,False,1,0.81,7,7,20,7
14,True,0,0.81,8,8,21,8
15,True,0,0.81,8,8,21,8
16,False,1,0.81,7,7,20,7
17,True,0,0.81,8,8,21,8
18,False,1,0.81,7,7,20,7
19,True,0,0.81,8,8,21,8
20,False,1,0.81,7,7,20,7
21,False,1,0.81,7,7,20,7
22,False,1,0.81,7,7,20,7
23,False,1,0.81,7,7,20,7
24,False,1,0.81,7,7,20,7
25,False,1,0.81,7,7,20,7
26,False,1,0.81,7,7,20,7
27,False,1,0.81,7,7,20,7
28,False,1,0.81,7,7,20,7
29,False,1,0.81,7,7,20,7
30,False,1,0.81,7,7,20,7
31,False,1,0.81,7,7,20,7
32,False,1,0.81,7,7,20,7
33,False,1,0.81,7,7,20,7
34,True,0,0.81,8,8,21,8
35,False,1,0.81,7,7,20,7
36,False,1,0.81,7,7,20,7
37,False,1,0.81,7,7,20,7
38,False,1,0.81,7,7,20,7
39,False,1,0.81,7,7,20,7
40,True,0,0.81,8,8,21,8
41,True,0,0.81,8,8,21,8
42,False,1,0.81,7,7,20,7
43,False,1,0.81,7,7,20,7
44,False,1,0.81,7,7,20,7
45,False,1,0.81,7,7,20,7
46,False,1,0.81,7,7,20,7
47,False,1,0.81,7,7,20,7
48,True,0,0.81,8,8,21,8
49,False,1,0.81,7,7,20,7
50,False,1,0.81,7,7,20,7
51,False,1,0.81,7,7,20,7
52,False,1,0.81,7,7,20,7
53,False,1,0.81,7,7,20,7
54,False,1,0.81,7,7,20,7
55,True,0,0.81,8,8,21,8
56,False,1,0.81,7,7,20,7
57,False,1,0.81,7,7,20,7
58,False,1,0.81,7,7,20,7
59,False,1,0.81,7,7,20,7
60,True,0,0.81,8,8,21,8
61,False,1,0.81,7,7,20,7
62,False,1,0.81,7,7,20,7
63,False,1,0.81,7,7,20,7
64,False,1,0.81,7,7,20,7
65,False,1,0.81,7,7,20,7
66,False,1,0.81,7,7,20,7
67,True,0,0.81,8,8,21,8
68,False,1,0.81,7,7,20,7
69,False,1,0.81,7,7,20,7
70,False,1,0.81,7,7,20,7
71,False,1,0.81,7,7,20,7
72,False,1,0.81,7,7,20,7
73,False,1,0.81,7,7,20,7
74,False,1,0.81,7,7,20,7
75,False,1,0.81,7,7,20,7
76,False,1,0.81,7,7,20,7
77,False,1,0.81,7,7,20,7
78,False,1,0.81,7,7,20,7
79,False,1,0.81,7,7,20,7
80,False,1,0.81,7,7,20,7
81,False,1,0.81,7,7,20,7
82,False,1,0.81,7,7,20,7
83,False,1,0.81,7,7,20,7
84,True,0,0.81,8,8,21,8
85,False,1,0.81,7,7,20,7
86,False,1,0.81,7,7,20,7
87,False,1,0.81,7,7,20,7
88,True,0,0.81,8,8,21,8
89,True,0,0.81,8,8,21,8
90,False,1,0.81,7,7,20,7
91,False,1,0.81,7,7,20,7
92,False,1,0.81,7,7,20,7
93,False,1,0.81,7,7,20,7
94,False,1,0.81,7,7,20,7
95,True,0,0.81,8,8,21,8
96,True,0,0.81,8,8,21,8
97,False,1,0.81,7,7,20,7
98,False,1,0.81,7,7,20,7
99,False,1,0.81,7,7,20,7
100,False,1,0.81,7,7,20,7
101,True,0,0.81,8,8,21,8
102,False,1,0.81,7,7,20,7
103,False,1,0.81,7,7,20,7
104,False,1,0.81,7,7,20,7
105,False,1,0.81,7,7,20,7
106,False,1,0.81,7,7,20,7
107,False,1,0.81,7,7,20,7
108,False,1,0.81,7,7,20,7
109,False,1,0.81,7,7,20,7
110,False,1,0.81,7,7,20,7
111,False,1,0.81,7,7,20,7
112,False,1,0.81,7,7,20,7
113,False,1,0.81,7,7,20,7
114,True,0,0.81,8,8,21,8
115,False,1,0.81,7,7,20,7
116,False,1,0.81,7,7,20,7
117,False,1,0.81,7,7,20,7
118,False,1,0.81,7,7,20,7
119,False,1,0.81,7,7,20,7
120,True,0,0.81,8,8,21,8
121,False,1,0.81,7,7,20,7
122,False,1,0.81,7,7,20,7
123,False,1,0.81,7,7,20,7
124,False,1,0.81,7,7,20,7
125,False,1,0.81,7,7,20,7
126,True,0,0.81,8,8,21,8
127,False,1,0.81,7,7,20,7
128,False,1,0.81,7,7,20,7
129,False,1,0.81,7,7,20,7
130,True,0,0.81,8,8,21,8
131,False,1,0.81,7,7,20,7
132,False,1,0.81,7,7,20,7
133,False,1,0.81,7,7,20,7
134,False,1,0.81,7,7,20,7
