,G,n,p,post,pre,x,y
0,True,9,0.68,20,20,20,20
1,True,9,0.8,13,13,13,3
2,True,7,0.47,18,18,18,1
3,True,3,0.68,20,20,20,10
4,True,14,0.68,20,20,20,19
5,True,13,0.42,6,6,6,0
6,True,6,0.36,15,15,15,12
7,True,8,0.63,12,12,12,10
8,True,7,0.69,7,7,7,9
9,True,16,0.08,6,6,6,12
10,True,6,0.79,18,18,18,15
11,True,4,0.15,7,7,7,17
12,True,10,0.09,7,7,7,9
13,True,12,0.65,16,16,16,13
14,True,13,0.56,19,19,19,12
15,True,18,0.37,2,2,2,9
16,True,13,0.28,6,6,6,4
17,True,14,0.74,5,5,5,0
18,True,9,0.84,0,0,0,2
19,True,6,0.21,8,8,8,2
20,True,19,0.16,9,9,9,14
21,True,14,0.93,6,6,6,18
22,True,12,0.88,4,4,4,20
23,True,11,0.12,9,9,9,0
24,True,13,0.53,8,8,8,7
25,True,10,0.86,1,1,1,17
26,True,11,0.73,3,3,3,4
27,True,18,0.76,4,4,4,18
28,True,19,0.75,8,8,8,13
29,True,13,0.75,5,5,5,0
30,True,6,0.93,1,1,1,3
31,True,1,0.25,14,14,14,14
32,True,5,0.64,3,3,3,15
33,True,19,0.93,16,16,16,16
34,True,7,0.56,14,14,14,5
35,True,7,0.89,11,11,11,16
36,True,9,0.43,0,0,0,4
37,True,3,0.39,17,17,17,8
38,True,1,0.25,4,4,4,13
39,True,2,0.67,9,9,9,7
40,True,14,0.2,16,16,16,2
41,True,3,0.59,10,10,10,9
42,True,16,0.24,5,5,5,0
43,True,5,0.94,8,8,8,20
44,True,2,0.68,5,5,5,7
45,True,12,0.6,12,12,12,14
46,True,14,0.95,10,10,10,3
47,True,16,0.23,1,1,1,7
48,True,10,0.7,8,8,8,12
49,True,7,0.87,13,13,13,5
50,True,20,0.58,2,2,2,11
51,True,10,0.31,2,2,2,4
52,True,11,0.33,1,1,1,10
53,True,10,0.63,11,11,11,6
54,True,5,0.11,11,11,11,0
55,True,2,0.35,6,6,6,7
56,True,17,0.76,12,12,12,8
57,True,9,0.64,4,4,4,18
58,True,9,0.43,7,7,7,2
59,True,20,0.42,10,10,10,16
60,True,9,0.51,8,8,8,14
61,True,2,0.93,10,10,10,7
62,True,12,0.44,0,0,0,20
63,True,20,0.44,4,4,4,12
64,True,11,0.43,14,14,14,17
65,True,16,0.65,6,6,6,0
66,True,7,0.42,8,8,8,12
67,True,6,0.75,15,15,15,5
68,True,20,0.62,10,10,10,7
69,True,1,0.77,16,16,16,6
70,True,18,0.38,0,0,0,16
71,True,12,0.28,11,11,11,17
72,True,17,0.93,14,14,14,1
73,True,4,0.18,14,14,14,2
74,True,5,0.41,2,2,2,0
75,True,11,0.86,6,6,6,6
76,True,7,0.9,8,8,8,7
77,True,3,0.3,18,18,18,19
78,True,8,0.84,12,12,12,17
79,True,11,0.1,13,13,13,12
80,True,12,0.6,9,9,9,2
81,True,4,0.41,9,9,9,20
82,True,3,0.13,15,15,15,20
83,True,9,0.51,17,17,17,16
84,True,16,0.24,9,9,9,16
85,True,1,0.84,1,1,1,18
86,True,15,0.73,0,0,0,2
87,True,9,0.92,0,0,0,9
88,True,10,0.9,16,16,16,19
89,True,15,0.59,18,18,18,3
90,True,15,0.55,13,13,13,1
91,True,6,0.43,6,6,6,9
92,True,10,0.6,7,7,7,2
93,True,12,0.63,19,19,19,11
94,True,18,0.8,0,0,0,6
95,True,11,0.44,8,8,8,7
96,True,8,0.65,19,19,19,20
97,True,14,0.13,8,8,8,2
98,True,3,0.57,14,14,14,11
99,True,3,0.2,10,10,10,12
100,True,13,0.93,12,12,12,10
101,True,13,0.11,4,4,4,0
102,True,15,0.51,11,11,11,7
103,True,5,0.13,9,9,9,4
104,True,5,0.6,11,11,11,1
105,True,14,0.92,9,9,9,9
106,True,8,0.48,9,9,9,0
107,True,7,0.95,18,18,18,16
108,True,1,0.46,0,0,0,15
109,True,8,0.58,3,3,3,0
110,True,14,0.15,0,0,0,5
111,True,10,0.5,1,1,1,5
112,True,5,0.81,9,9,9,17
113,True,18,0.71,1,1,1,2
114,True,1,0.82,15,15,15,19
115,True,11,0.66,1,1,1,19
116,True,3,0.83,0,0,0,10
117,True,1,0.07,13,13,13,15
118,True,20,0.81,5,5,5,3
119,True,15,0.91,20,20,20,2
120,True,14,0.18,5,5,5,4
121,True,19,0.52,19,19,19,8
122,True,19,0.09,18,18,18,7
123,True,17,0.42,2,2,2,17
124,True,7,0.25,19,19,19,2
125,True,13,0.31,20,20,20,2
126,True,19,0.77,7,7,7,2
127,True,1,0.72,3,3,3,16
128,True,3,0.73,19,19,19,2
129,True,4,0.93,17,17,17,4
130,True,16,0.93,1,1,1,14
131,True,20,0.39,7,7,7,12
132,True,17,0.28,7,7,7,16
133,True,12,0.54,3,3,3,3
134,True,4,0.54,13,13,13,4
135,True,12,0.56,10,10,10,4
136,True,20,0.5,20,20,20,6
137,True,20,0.91,3,3,3,5
138,True,17,0.68,16,16,16,4
139,True,11,0.3,15,15,15,15
140,True,16,0.06,9,9,9,9
141,True,15,0.51,19,19,19,15
142,True,3,0.66,19,19,19,2
143,True,5,0.07,2,2,2,19
144,True,14,0.67,5,5,5,16
145,True,14,0.77,0,0,0,20
146,True,7,0.49,18,18,18,9
147,True,11,0.7,3,3,3,10
148,True,5,0.39,0,0,0,8
149,True,4,0.12,4,4,4,1
150,True,7,0.4,16,16,16,15
151,True,14,0.1,1,1,1,3
152,True,12,0.32,9,9,9,6
153,True,18,0.56,16,16,16,9
154,True,5,0.32,5,5,5,15
155,True,18,0.09,5,5,5,17
156,True,19,0.3,20,20,20,4
157,True,13,0.67,10,10,10,14
158,True,7,0.26,14,14,14,0
159,True,8,0.44,14,14,14,18
160,True,9,0.85,11,11,11,13
161,True,17,0.51,15,15,15,8
162,True,7,0.14,6,6,6,16
163,True,1,0.42,4,4,4,2
164,True,14,0.64,10,10,10,3
165,True,19,0.44,9,9,9,20
166,True,18,0.32,2,2,2,12
167,True,7,0.94,2,2,2,3
168,True,9,0.82,20,20,20,10
169,True,9,0.73,16,16,16,19
170,True,2,0.43,12,12,12,3
171,True,16,0.47,12,12,12,5
172,True,11,0.34,15,15,15,15
173,True,13,0.82,15,15,15,1
174,True,13,0.61,13,13,13,10
175,True,20,0.43,1,1,1,6
176,True,12,0.61,16,16,16,11
177,True,6,0.66,18,18,18,16
178,True,17,0.86,8,8,8,7
179,True,15,0.86,11,11,11,4
180,True,9,0.74,10,10,10,13
181,True,19,0.6,16,16,16,16
182,True,16,0.2,17,17,17,19
183,True,1,0.77,0,0,0,15
184,True,5,0.18,20,20,20,13
185,True,18,0.32,16,16,16,13
186,True,11,0.56,10,10,10,0
187,True,6,0.91,13,13,13,20
188,True,10,0.94,18,18,18,14
189,True,19,0.61,1,1,1,9
190,True,9,0.81,3,3,3,8
191,True,14,0.44,12,12,12,17
192,True,4,0.75,10,10,10,9
193,True,12,0.66,0,0,0,17
194,True,19,0.57,9,9,9,10
195,True,8,0.91,18,18,18,10
196,True,9,0.86,6,6,6,18
197,True,3,0.26,19,19,19,6
198,True,15,0.87,17,17,17,20
199,True,18,0.41,13,13,13,9
200,True,19,0.08,10,10,10,13
201,True,1,0.26,20,20,20,10
202,True,1,0.32,15,15,15,11
203,True,17,0.36,20,20,20,9
204,True,10,0.76,12,12,12,11
205,True,18,0.19,18,18,18,5
206,True,11,0.48,16,16,16,17
207,True,2,0.77,10,10,10,10
208,True,15,0.24,17,17,17,1
209,True,7,0.45,7,7,7,13
210,True,20,0.19,7,7,7,20
211,True,2,0.67,8,8,8,6
212,True,8,0.64,17,17,17,9
213,True,17,0.83,8,8,8,14
214,True,15,0.52,8,8,8,16
215,True,18,0.15,3,3,3,15
216,True,9,0.77,9,9,9,10
217,True,6,0.65,0,0,0,10
218,True,6,0.45,11,11,11,0
219,True,10,0.7,13,13,13,17
220,True,15,0.21,7,7,7,6
221,True,20,0.43,8,8,8,19
222,True,8,0.94,20,20,20,7
223,True,7,0.63,9,9,9,0
224,True,12,0.83,17,17,17,18
225,True,7,0.53,17,17,17,7
226,True,5,0.43,5,5,5,3
227,True,10,0.72,3,3,3,12
228,True,14,0.66,7,7,7,17
229,True,9,0.86,6,6,6,17
230,True,6,0.63,10,10,10,9
231,True,5,0.45,7,7,7,10
232,True,5,0.73,12,12,12,9
233,True,4,0.3,20,20,20,16
234,True,15,0.63,12,12,12,11
235,True,6,0.22,3,3,3,20
236,True,5,0.1,7,7,7,3
237,True,12,0.37,8,8,8,15
238,True,7,0.89,10,10,10,20
239,True,20,0.2,20,20,20,11
240,True,17,0.94,9,9,9,14
241,True,1,0.88,6,6,6,9
242,True,13,0.12,8,8,8,11
243,True,9,0.45,12,12,12,0
244,True,4,0.3,5,5,5,3
245,True,20,0.29,3,3,3,16
246,True,6,0.33,15,15,15,20
247,True,12,0.64,4,4,4,5
248,True,7,0.5,12,12,12,11
249,True,19,0.34,8,8,8,6
250,True,11,0.26,17,17,17,20
251,True,14,0.41,15,15,15,0
252,True,1,0.28,10,10,10,5
253,True,6,0.78,18,18,18,5
254,True,17,0.23,19,19,19,8
255,True,5,0.21,10,10,10,17
256,True,19,0.11,11,11,11,13
257,True,16,0.62,16,16,16,11
258,True,7,0.55,19,19,19,20
259,True,10,0.27,1,1,1,1
260,True,19,0.09,11,11,11,15
261,True,10,0.75,0,0,0,8
262,True,18,0.8,6,6,6,18
263,True,13,0.93,20,20,20,9
264,True,10,0.3,7,7,7,4
265,True,20,0.91,15,15,15,17
266,True,2,0.1,19,19,19,0
