,G,flip,p1,post,pre,x,z
0,True,0,0.49,9,9,4,9
1,True,0,0.82,17,17,7,17
2,True,0,0.15,0,0,11,0
3,True,0,0.49,8,8,15,8
4,True,0,0.33,10,10,6,10
5,True,0,0.61,11,11,13,11
6,True,0,0.68,0,0,4,0
7,True,0,0.29,11,11,4,11
8,True,0,0.79,7,7,2,7
9,True,0,0.72,20,20,9,20
10,True,0,0.11,9,9,12,9
11,True,0,0.35,4,4,10,4
12,True,0,0.43,15,15,18,15
13,True,0,0.85,0,0,2,0
14,True,0,0.94,7,7,19,7
15,True,0,0.85,5,5,3,5
16,True,0,0.49,19,19,13,19
17,True,0,0.5,5,5,9,5
18,True,0,0.33,13,13,2,13
19,True,0,0.26,6,6,18,6
20,True,0,0.92,18,18,9,18
21,True,0,0.78,16,16,6,16
22,True,0,0.76,7,7,20,7
23,True,0,0.54,19,19,17,19
24,True,0,0.73,20,20,5,20
25,True,0,0.07,10,10,6,10
26,True,0,0.3,20,20,14,20
27,True,0,0.92,3,3,17,3
28,True,0,0.37,2,2,8,2
29,True,0,0.13,18,18,11,18
30,True,0,0.08,6,6,1,6
31,True,0,0.47,4,4,20,4
32,True,0,0.67,20,20,20,20
33,True,0,0.31,2,2,9,2
34,True,0,0.55,18,18,5,18
35,True,0,0.85,2,2,16,2
36,True,0,0.93,12,12,10,12
37,True,0,0.42,18,18,4,18
38,True,0,0.62,12,12,11,12
39,True,0,0.14,18,18,11,18
40,True,0,0.62,8,8,7,8
41,True,0,0.14,19,19,5,19
42,True,0,0.71,13,13,5,13
43,True,0,0.28,0,0,8,0
44,True,0,0.36,15,15,5,15
45,True,0,0.85,11,11,11,11
46,True,0,0.95,4,4,0,4
47,True,0,0.5,14,14,14,14
48,True,0,0.45,6,6,20,6
49,True,0,0.43,15,15,8,15
50,True,0,0.85,5,5,10,5
51,True,0,0.83,19,19,11,19
52,True,0,0.8,19,19,18,19
53,True,0,0.62,16,16,4,16
54,True,0,0.38,11,11,6,11
55,True,0,0.56,2,2,3,2
56,True,0,0.08,2,2,17,2
57,True,0,0.1,15,15,15,15
58,True,0,0.51,16,16,19,16
59,True,0,0.65,8,8,8,8
60,True,0,0.77,9,9,15,9
61,True,0,0.56,6,6,20,6
62,True,0,0.42,0,0,9,0
63,True,0,0.45,15,15,3,15
64,True,0,0.88,5,5,5,5
65,True,0,0.42,15,15,14,15
66,True,0,0.94,19,19,2,19
67,True,0,0.34,15,15,7,15
68,True,0,0.74,14,14,8,14
69,True,0,0.37,20,20,1,20
70,True,0,0.7,16,16,2,16
71,True,0,0.32,1,1,15,1
72,True,0,0.78,8,8,8,8
73,True,0,0.82,10,10,18,10
74,True,0,0.47,7,7,13,7
75,True,0,0.5,3,3,11,3
76,True,0,0.27,8,8,2,8
77,True,0,0.66,5,5,4,5
78,True,0,0.43,19,19,0,19
79,True,0,0.75,9,9,11,9
80,True,0,0.32,4,4,9,4
81,True,0,0.94,14,14,17,14
82,True,0,0.87,20,20,0,20
83,True,0,0.17,19,19,7,19
84,True,0,0.4,10,10,7,10
85,True,0,0.55,19,19,20,19
86,True,0,0.29,10,10,20,10
87,True,0,0.18,10,10,6,10
88,True,0,0.22,6,6,4,6
89,True,0,0.51,20,20,20,20
90,True,0,0.43,15,15,3,15
91,True,0,0.93,15,15,20,15
92,True,0,0.65,8,8,15,8
93,True,0,0.35,16,16,12,16
94,True,0,0.67,6,6,20,6
95,True,0,0.17,8,8,11,8
96,True,0,0.87,9,9,16,9
97,True,0,0.54,15,15,0,15
98,True,0,0.94,18,18,14,18
99,True,0,0.09,18,18,1,18
100,True,0,0.07,0,0,12,0
101,True,0,0.46,20,20,8,20
102,True,0,0.11,5,5,18,5
103,True,0,0.34,8,8,5,8
104,True,0,0.16,0,0,11,0
105,True,0,0.05,1,1,2,1
106,True,0,0.24,8,8,0,8
107,True,0,0.48,20,20,1,20
108,True,0,0.39,8,8,0,8
109,True,0,0.68,9,9,19,9
110,True,0,0.37,18,18,1,18
111,True,0,0.23,8,8,17,8
112,True,0,0.68,3,3,20,3
113,True,0,0.44,18,18,6,18
114,True,0,0.77,13,13,20,13
115,True,0,0.28,4,4,5,4
116,True,0,0.68,8,8,11,8
117,True,0,0.52,7,7,5,7
118,True,0,0.22,20,20,7,20
119,True,0,0.08,4,4,15,4
120,True,0,0.59,15,15,15,15
121,True,0,0.19,18,18,9,18
